variety_id,species,variety_name,scientific_name,plant_type,days_to_maturity_min,days_to_maturity_max,sun_requirement,spacing_inches_min,spacing_inches_max,start_method,pinch_at_height_inches,stem_length_inches_min,stem_length_inches_max,bloom_size_inches_min,bloom_size_inches_max,vase_life_days_min,vase_life_days_max,cut_and_come_again,succession_interval_days,bloom_color,usda_zone_perennial_min,usda_zone_perennial_max,overwintering_method,variety_notes,sources,source_notes,confidence,last_verified_date
dahlia_ferncliff_copper,dahlia,Ferncliff Copper,Dahlia pinnata,tuberous perennial,90,120,full sun,18,24,plant tubers after frost,12,24,36,7,9,4,5,TRUE,,coppery peach-pink with golden undertones,8,10,Dig and store tubers,"DINNERPLATE size informal decorative dahlia. Massive 7-9"" blooms in warm antique coppery-peach tones. Customer favorite for autumn weddings. Stake at planting — heavy blooms need support. Shorter vase life than ball dahlias (4-5 days vs 7+) — the trade-off for drama.",Floret Library; Swan Island Dahlias; Longfield Gardens,Dinnerplate form is dramatic but short-lived — manage customer expectations.,high,2026-04-24
dahlia_labyrinth,dahlia,Labyrinth,Dahlia pinnata,tuberous perennial,90,120,full sun,18,24,plant tubers after frost,12,24,36,6,9,4,5,TRUE,,"swirling blend of peach, pink, lavender",8,10,Dig and store tubers,"Dinnerplate informal decorative dahlia with swirling pastel coloration — no two flowers identical. Wedding industry darling. Large 6-9"" blooms. Strong stems. Productive for a dinnerplate. Second only to Café au Lait in floral designer popularity for weddings.",Floret Library; Swan Island Dahlias,"Color variability within the variety is a feature, not a bug — appeals to designers.",high,2026-04-24
sweet_pea_april_in_paris,sweet_pea,April in Paris (High Scent),Lathyrus odoratus,hardy annual,75,90,full sun (part afternoon shade in hot zones),6,8,soak seeds 24 hrs; indoor start 10-12 wks before last frost OR fall-plant in mild zones,4,8,14,1,2,4,5,TRUE,,cream with lavender-purple edges (deepens with age),,,"Sweet peas are cool-season annuals; hot weather ends bloom. Zone 7+: fall-plant seeds for spring blooms. Zone 3-6: spring-plant after soaking seeds, pinch early, trellis at planting.","Bred by Dr. Keith Hammett — marries old-fashioned strong fragrance with modern Spencer-type large ruffled blooms. THE most fragrant sweet pea available. Also sold as ""High Scent"" / ""King's High Scent"" / ""Hi-Scent."" 6-8 ft climbing vines need strong trellis. Harvest when 2+ unopened buds at tip. POISONOUS if ingested — caution with kids and pets (not the same as garden pea). Shorter vase life the trade-off for fragrance.",Floret Library; Renee's Garden; Uprising Seeds; Fedco; Deep Harvest Farm; Burfoot Flowers; Sweet Pea Gardens,Multiple names for the same Hammett-bred variety. Strongly fragrant sweet peas are a category where this is the clear leader.,high,2026-04-24
sweet_pea_nimbus,sweet_pea,Nimbus (Spencer),Lathyrus odoratus,hardy annual,75,90,full sun (afternoon shade in hot zones),6,8,soak seeds; indoor start 10-12 wks before last frost,4,10,14,1,2,4,5,TRUE,,stormy purple-grey with darker flush,,,Cool-season — see other sweet peas,"Modern Spencer sweet pea with unique ""stormy"" grey-purple coloring. Huge fluttery blooms on 12""+ stems. Little to no fragrance — the trade-off modern Spencers make for bloom size and color. Pairs beautifully with April in Paris for combined scent + drama. Designer favorite for moody palette work.",Burfoot Flowers; Floret Library,Modern Spencers = large ruffled blooms with reduced scent vs. old-fashioned Grandifloras.,high,2026-04-24
sweet_pea_mollie_rilstone,sweet_pea,Mollie Rilstone,Lathyrus odoratus,hardy annual,75,90,full sun (afternoon shade in hot zones),6,8,soak seeds; indoor start 10-12 wks before last frost,4,10,14,1,2,4,5,TRUE,,cream with pink picotee edges,,,Cool-season annual — see April in Paris,"Cream flowers with warm pink picotee edging. Modern Spencer form. Good fragrance (stronger than Nimbus, not as intense as April in Paris). Long stems. Beloved wedding variety for the romantic cream-and-pink palette.",Floret Library,Classic wedding palette choice.,high,2026-04-24
celosia_chief_mix,celosia,Chief Series Mix (Crested/Cockscomb),Celosia cristata,annual,95,110,full sun,9,12,indoor start 4-6 weeks before last frost,,24,36,3,6,10,14,TRUE,,"mix: crimson, pink, orange, yellow, cream",,,Annual; dries beautifully — harvest and hang upside down for winter arrangements,"Classic ""cockscomb"" / brain-shaped ruffled celosia. Heat-LOVING — thrives in hot humid weather where other flowers fade. Very long vase life (10-14 days fresh, effectively forever dry). Needs long warm growing season — start indoors. Color holds well when dried. Unique textural element unlike anything else. Cut-and-come-again if side shoots encouraged.",Floret Library; Johnny's Selected Seeds; Territorial Seed,"Three celosia categories: crested (cockscomb brains), plumed (feathery plumes), and wheat (spike form). All grow similarly.",high,2026-04-24
celosia_sunday_series,celosia,Sunday Series (Plumed),Celosia argentea var. plumosa,annual,90,110,full sun,9,12,indoor start 4-6 weeks before last frost,12,24,40,4,8,10,14,TRUE,,"available in bright red, pink, yellow, orange, cream",,,Annual; excellent for drying,Plumed/feathery celosia form — fluffy upright plumes rather than brain-shaped crests. Sunday series is specifically bred for cut flower production with tall strong stems. Heat-loving. Pinch early for branching. Lasts extraordinarily long in vase. Dries to near-identical color. Versatile in bouquets.,Johnny's Selected Seeds; Floret Library,Sunday series is commercial cut-flower bred; consumer-grade Century series is shorter and bushier.,high,2026-04-24
celosia_flamingo_feather,celosia,Flamingo Feather (Wheat Type),Celosia spicata,annual,85,100,full sun,9,12,indoor start,12,30,48,4,8,10,14,TRUE,,soft pink fading to silver-white at tips,,,Annual; dries excellently,"Wheat-type celosia — narrow upright spikes like wheat heads, softer texture than crested or plumed. Soft pink with silvery tips — resembles flamingo feathers. Tall strong stems. Natural ""prairie"" aesthetic. Pairs with grasses and wildflower-style arrangements. Dries beautifully.",Johnny's Selected Seeds; Floret Library,Wheat celosia is less common — Flamingo Feather is the most popular cut flower version.,high,2026-04-24
bachelors_button_black_ball,bachelors_button,Black Ball,Centaurea cyanus,hardy annual,65,85,full sun,9,12,direct sow early spring or fall (hardy),,24,36,1,2,5,7,TRUE,,deep maroon-black,,,Hardy annual — can survive winter in zones 7+ if fall-planted; otherwise early spring sow,"Also called Cornflower. ""Black Ball"" is the nearly-black variety — rare dark flower highly prized by designers. Classic cottage garden flower. Cool-season hardy annual — germinates in cool soil, tolerates frost. Plants bolt in heat. Fall-plant in zones 7+ for spring bloom. Reseeds reliably.",Floret Library; Johnny's Selected Seeds; Baker Creek,Hardy annuals like bachelor's button should be planted EARLY — they struggle in heat.,high,2026-04-24
rudbeckia_sahara,rudbeckia,Sahara,Rudbeckia hirta,tender perennial (grown as annual),100,120,full sun,9,12,indoor start 6-8 weeks before last frost,12,24,36,3,5,7,10,TRUE,,"mix: dusty rose, rusty red, cream, caramel, bronze",3,7,Short-lived perennial in zones 3-7 (often only 1-2 years); grown as annual in most climates for cut flowers,"Remarkable color palette for a rudbeckia — antique muted tones (dusty rose, rust, cream, caramel) very unlike typical bright yellow black-eyed Susans. Bred specifically for cut flowers. Productive heat-tolerant bloomer from mid-summer through frost. Pinch early for branching. Customer favorite for autumn wedding palettes.",Floret Library; Johnny's Selected Seeds,Breaks from traditional yellow-rudbeckia expectations — notable for distinctive color range.,high,2026-04-24
rudbeckia_indian_summer,rudbeckia,Indian Summer,Rudbeckia hirta,tender perennial (grown as annual),100,120,full sun,12,18,indoor start,12,24,36,6,9,7,10,TRUE,,classic golden yellow with dark brown center,3,7,Often grown as annual; may overwinter in zones 3-7,"1995 AAS winner. Enormous 6-9"" golden-yellow daisies with dark centers. Dramatic size — single stems fill a vase. Classic black-eyed Susan appearance but supersized. Heat-tolerant, drought-tolerant. Heavy producer. A cottage-garden and cutting-garden staple.",Johnny's Selected Seeds; Burpee; All-America Selections,"The ""grande"" traditional black-eyed Susan — dramatically larger than wild Rudbeckia hirta.",high,2026-04-24
strawflower_copper_red,strawflower,Copper Red,Xerochrysum bracteatum,annual,75,90,full sun,9,12,indoor start 4-6 weeks before last frost,12,18,30,1,3,10,14,TRUE,,warm copper-red with golden center,,,Annual; premier drying flower — hang upside down to dry (holds color and form indefinitely),Also called Everlasting. Papery straw-textured petals that NEVER WILT — flowers feel dry even fresh on plant. Retain full color and shape when dried. Long vase life fresh (10-14 days). Premier dried flower. Productive and heat-tolerant. Essential component for dried wreaths and winter arrangements.,Floret Library; Johnny's Selected Seeds,Straw-textured petals are unique — can't be confused with anything else.,high,2026-04-24
statice_seeker_formula_mix,statice,QIS Formula Mix,Limonium sinuatum,tender perennial (grown as annual),110,130,full sun,9,12,indoor start 6-8 weeks before last frost,,18,30,,,10,14,TRUE,,"mix: purple, blue, pink, white, yellow, apricot",8,10,Annual in cold zones; tender perennial in zone 8+. Excellent drying flower — holds color for months.,QIS (Quick Improved Statice) series bred for cut flower production. Papery calyxes in bright colors with tiny white interior flowers. Long vase life. THE classic dried flower for color retention. Heat-tolerant. Branching plants produce many stems. Drought-tolerant once established.,Johnny's Selected Seeds; Floret Library,Statice is a bridge between fresh and dried flowers — works equally well for both.,high,2026-04-24
scabiosa_black_knight,scabiosa,Black Knight,Scabiosa atropurpurea,hardy annual,80,100,full sun,9,12,direct sow early spring or indoor start,10,18,30,1,2,5,7,TRUE,,deep maroon-black with white stamens,,,Hardy annual — may overwinter in zone 7+ mild climates,"Also called Pincushion Flower or Mourning Bride. One of the darkest flowers available — nearly black maroon. Honey-scented. White stamens create speckled ""pincushion"" appearance. Cool-season hardy annual — starts blooming early. Excellent in cottage-style and moody bouquets. Reseeds readily.",Floret Library; Johnny's Selected Seeds; Baker Creek,Premier dark flower alongside Bachelor's Button Black Ball and Chocolate Cosmos.,high,2026-04-24
scabiosa_fama_deep_blue,scabiosa,Fama Deep Blue,Scabiosa caucasica,perennial,110,130,full sun,12,18,indoor start 8-10 weeks before last frost (cold treatment helps),,18,24,3,4,7,10,TRUE,,deep violet-blue,4,9,Perennial in zones 4-9 — overwinter in garden with light mulch,Larger-flowered perennial pincushion. Blooms first year if started early. Produces continuously from early summer to frost if deadheaded. One of few true-blue cut flowers. Long-lived perennial. Divide clumps every 3-4 years.,Floret Library; Johnny's Selected Seeds,Different species from annual Scabiosa atropurpurea — perennial behavior changes the planning calculus.,high,2026-04-24
nigella_miss_jekyll,nigella,Miss Jekyll,Nigella damascena,hardy annual,65,85,full sun to part shade,6,9,direct sow early spring (taproot — resents transplanting),,18,24,1,2,5,7,FALSE,14,clear sky blue,,,"Hardy annual — fall plant in zone 7+ for early spring bloom, else early spring direct sow. Reseeds prolifically.",Also called Love-in-a-Mist. Ethereal feathery foliage with clear blue star-shaped flowers. Seed pods ALSO used as cut flowers/dried pods — harvest when inflated but still green. Double-duty plant. Cool-season — bolts in heat. Cannot be transplanted (taproot) — direct sow only. Reseeds reliably. One of few true-blue garden flowers.,Floret Library; Baker Creek; Johnny's Selected Seeds,Seed pod is often more valuable than the flower for cut-flower designers.,high,2026-04-24
yarrow_colorado,yarrow,Colorado Mix,Achillea millefolium,perennial,120,150,full sun,12,18,indoor start 8-10 weeks before last frost (first year); divisions in subsequent years,,24,30,3,4,7,10,TRUE,,"mix: white, pink, rose, red, yellow, apricot",3,9,Hardy perennial — cut back to ground in late fall. Divide every 2-3 years. Spreads via runners (contain if needed).,"Flat-topped clusters of tiny flowers — excellent flat ""plate"" form for bouquets. Long-lasting fresh and dried. Colorado mix gives broad color range. Drought-tolerant and low-maintenance. Attracts beneficial insects. Divide clumps in fall or early spring for free new plants. Blooms first year from early-started seed.",Johnny's Selected Seeds; Floret Library; Baker Creek,"Yarrow is beloved by flower farmers for reliability, longevity, and dual fresh/dried use.",high,2026-04-24
feverfew_magic_single,feverfew,Magic Single,Tanacetum parthenium,short-lived perennial (often grown as annual),110,130,full sun to part shade,9,12,indoor start 8-10 weeks before last frost,10,18,24,,1,7,10,TRUE,,white petals with yellow centers (daisy-like),5,8,Short-lived perennial (2-3 years) in zones 5-8; reseeds freely — appears volunteer in subsequent years,"Small daisy-like flowers in airy sprays — classic ""filler"" flower for bouquets. Aromatic foliage (medicinal/culinary history). Productive cutter — single plant yields many stems over weeks. Reseeds reliably. Excellent with roses, dahlias, zinnias as a delicate textural counterpoint.",Floret Library; Johnny's Selected Seeds,"Premier ""filler"" flower for cutting gardens — essential for bouquet design.",high,2026-04-24
lisianthus_voyage_series,lisianthus,Voyage Series,Eustoma grandiflorum,tender perennial (grown as annual),140,180,full sun,6,9,PURCHASE PLUGS — seed-starting is extremely slow and difficult for home growers,,30,40,2,3,14,21,TRUE,,"multi-petaled rose-like blooms in white, pink, purple, blue, cream, green",8,10,Annual in cold zones; tender perennial in zones 8+,"""Rose of Texas"" — fluffy rose-like blooms on tall strong stems. EXCEPTIONAL vase life (2-3 weeks). Considered premium/luxury cut flower. HOME GROWERS SHOULD BUY PLUGS, NOT SEEDS — seed-to-bloom takes 5-7 months and requires specific temperature ranges. Voyage series bred for long stems and commercial cut flower production. One of the most profitable flowers for flower farmers.",Johnny's Selected Seeds; Floret Library; Sakata,Seed germination challenge is critical warning for home growers — plugs are the practical path.,high,2026-04-24
calendula_ivory_princess,calendula,Ivory Princess,Calendula officinalis,hardy annual,55,70,full sun to part shade,9,12,direct sow early spring or indoor start,,12,18,2,3,5,7,TRUE,,ivory cream with pink tones,,,Hardy annual — reseeds readily. Fall plant in mild zones.,"Also called Pot Marigold. Edible medicinal flowers (petals for salads, skin salves). Soft cream-pink tones unusual for calendula — most varieties are bright orange/yellow. Cool-season — bolts in high heat. Prolific self-seeder. Productive cut flower over long season. Short stems limit vase use but good for posies.",Floret Library; Johnny's Selected Seeds,Edible/medicinal doubles as culinary herb.,high,2026-04-24
