variety_id,species,variety_name,scientific_name,crop_type,sugar_genetic_type,days_to_maturity_min,days_to_maturity_max,ear_length_inches_min,ear_length_inches_max,plant_height_ft_min,plant_height_ft_max,rows_per_ear_min,rows_per_ear_max,plant_spacing_inches,row_spacing_inches_min,row_spacing_inches_max,min_block_rows,isolation_requirement,use_types,soil_temp_minimum_f,open_pollinated_or_hybrid,disease_resistance,variety_notes,sources,source_notes,confidence,last_verified_date
corn_oaxacan_green,corn,Oaxacan Green,Zea mays,dent corn,,95,105,6,10,6,7,12,16,12,30,36,4,Isolate from other corn varieties by 600+ feet,tortillas; tamales; masa; moonshine/bourbon; ornamental,60,open-pollinated heirloom,Good general disease resistance; adaptable,"Heirloom from Zapotec people of Oaxaca, Mexico. Unique pearlescent green kernels — striking for fall decoration. Grinds into flavorful green-tinted masa for authentic Oaxacan tortillas and tamales. Despite Mexican origin, shorter stature (6-7 ft) and faster maturity (95-105 days) than most southern heirlooms — grows well in temperate climates. Popular with distillers for moonshine and bourbon.",Thresh Seed Co; Rich Farm Garden; Sandhill Preservation; Tomorrow Seeds,Days-to-maturity varies widely between sources (70-105) — using 95-105 conservative range based on most reliable sources.,high,2026-04-24
corn_hickory_king,corn,Hickory King,Zea mays,dent corn,,95,110,9,10,9,12,8,10,12,30,36,4,Isolate from other corn varieties by 600+ feet,hominy; grits; cornmeal; tortillas,60,open-pollinated heirloom,Good general disease resistance,Southern heirloom. Very large white kernels — among the biggest of any corn. The classic hominy and grits corn — kernels hull easily with lye treatment. Tall 9-12 ft stalks. Low row count (8-10) but each kernel is huge. Historic importance in Southern US cuisine. Slower conversion to starch than sweet corn — versatile use at various stages.,Rich Farm Garden; Sandhill Preservation,Essential variety for traditional Southern hominy and grits preparation.,high,2026-04-24
corn_hopi_turquoise,corn,Hopi Turquoise,Zea mays,flour/dent corn,,85,95,6,12,4,5,10,14,10,30,36,4,Isolate from other corn varieties by 600+ feet to preserve color,cornmeal; atole; ceremonial,60,open-pollinated heirloom,"Drought-tolerant; cold-soil tolerant (proven at 8,000 ft elevation)","Traditional Hopi variety. Kernels range from slate blue to brilliant turquoise with occasional purples. BOTH flour and dent kernels on same ear — rare. Earlier than Hopi Blue (~90 vs ~110 days). Tolerant to wide temperature swings and cool soil — grows successfully at 8,000 ft elevation. Original seed from John ""Eesawu"" Kimmey, Talavaya Center founder.",Baker Creek (RareSeeds); Sandhill Preservation,Significant cultural heritage; shorter season than typical Hopi varieties makes it useful beyond the Southwest.,high,2026-04-24
corn_cherokee_white_eagle,corn,Cherokee White Eagle,Zea mays,dent corn,,105,115,8,10,9,10,12,16,12,30,36,4,Isolate from other corn varieties by 600+ feet,blue cornmeal; masa; flour; ceremonial,60,open-pollinated heirloom,Good general disease resistance; adaptable,Sacred Cherokee heritage variety. Blue and white kernels — some with patterns resembling an eagle with outspread wings (the ceremonial significance). 10 ft stalks. Grinds into beautiful blue meal or masa flour. Essential heritage variety with deep cultural significance.,Rich Farm Garden; Native American Seed,Sacred ceremonial significance to Cherokee Nation — important to acknowledge origin.,high,2026-04-24
corn_wapsie_valley,corn,Wapsie Valley,Zea mays,dent corn,,110,115,9,11,8,9,12,16,12,30,36,4,Isolate from other corn by 600+ feet,cornmeal; grits; animal feed; whiskey,60,open-pollinated heirloom,Good general disease resistance,"Iowa heirloom, regionally adapted Midwest variety. Deep yellow-orange with reddish cast. Nicely formed ears on 8-9 ft plants. Excellent for cornmeal, grits, and traditional whiskey distilling. Reliable open-pollinated dent corn for central US.",Sandhill Preservation,Classic Iowa heirloom — excellent for Midwest growers.,high,2026-04-24
corn_glass_gem,corn,Glass Gem,Zea mays,popcorn/flint corn,,105,120,3,8,6,9,10,14,8,24,36,4,Isolate from other corn varieties by 500+ feet or 1/4 mile to preserve color genetics,ornamental; popcorn; cornmeal; grits,60,open-pollinated,Good general disease resistance; requires high nitrogen,"Bred by part-Cherokee farmer Carl Barnes over decades through careful selection of native varieties. Brilliant glossy jewel-toned kernels in every color of the rainbow — no two ears alike. Popular for ornamental use, but also edible — pops into cream-colored popcorn or grinds into meal. Translucent kernels resemble stained glass. Raccoons love it — protect ears. Needs abundant nitrogen for best color and size.",Johnny's Selected Seeds; Thresh Seed Co; Territorial Seed; Pinetree; Hoss; Baker Creek; High Mowing; SF Bay Gardening,Unique genetic work by Carl Barnes — cultural connection to Cherokee heritage preservation.,high,2026-04-24
corn_japanese_hulless,corn,Japanese Hulless,Zea mays,popcorn,,85,100,4,6,4,6,28,32,8,24,36,4,Isolate from other corn varieties by 500+ feet,popcorn,60,open-pollinated heirloom,Good general disease resistance,"Heirloom dating to at least the 1920s. Small pure-white tender kernels with hint of sweetness. ""Hulless"" refers to very thin hull that disappears when popped — no hull fragments caught in teeth. Compact plants stay under 6 feet. Each plant produces numerous ears — excellent home garden variety. One of the earliest-maturing popcorn varieties — great for short growing seasons.",Thresh Seed Co; Garden.org,"Tender hulless quality is the defining feature — justifies the ""hulless"" name.",high,2026-04-24
corn_strawberry_popcorn,corn,Strawberry Popcorn,Zea mays,popcorn,,100,110,2,4,4,5,10,16,8,24,36,4,Isolate from other corn by 500+ feet,popcorn; ornamental,60,open-pollinated heirloom,Good general disease resistance,"Named for its appearance — small 2-4"" ears with dark mahogany-red kernels shaped like strawberries. Short compact plants (4-5 ft). Multiple small ears per plant. Pops to tender small white kernels with classic popcorn flavor. Attractive as ornamental in its natural form. Children's garden favorite.",Thresh Seed Co; Garden.org; Baker Creek,Dual ornamental/popcorn use — popular fall decoration item.,high,2026-04-24
corn_dakota_black_popcorn,corn,Dakota Black,Zea mays,popcorn,,90,105,5,7,5,7,14,18,8,24,36,4,Isolate from other corn varieties by 500+ feet,popcorn; ornamental,60,open-pollinated heirloom,Cold-tolerant; good general disease resistance,Native American heritage variety. Deep burgundy-black kernels pop to fluffy white with specks of color. Short-season maturing — good for northern gardens. 5-7 ft stalks. Good flavor. Beautiful ornamental use. Ruby Red and Early Pink are related colored popcorn varieties.,Thresh Seed Co; Garden.org; Baker Creek,Short-season popcorn variant — useful for zones with less than 110 day growing seasons.,high,2026-04-24
pumpkin_howden,pumpkin,Howden,Cucurbita pepo,pumpkin - carving,,110,120,,,,,,,48,72,96,,"Isolate from other C. pepo varieties (zucchini, acorn, summer squash) by 0.25 mile for seed saving",carving jack-o-lanterns; some cooking use,65,open-pollinated,Susceptible to squash vine borer (C. pepo species); moderate powdery mildew resistance,"THE classic American Halloween jack-o-lantern pumpkin. Developed in the 1970s by Massachusetts grower John Howden as an improved Connecticut Field type. Bright orange, thick ribbed, strong handles, uniform blocky shape. 15-25 lbs typical. Excellent carving quality. Watery stringy flesh — OK for pies but not ideal (use Baby Pam or Long Island Cheese instead). Long storage. 2-3 fruits per vine.",St. Clare Seeds; Gardener's Path; Creative Vegetable Gardener,Industry standard jack-o-lantern since 1970s — basis for most carving pumpkin breeding.,high,2026-04-24
pumpkin_baby_pam,pumpkin,Baby Pam / Small Sugar,Cucurbita pepo,pumpkin - pie,,95,105,,,,,,,36,60,72,,"Isolate from other C. pepo varieties for seed saving (crosses with zucchini, acorn)",pies; puree; baking,65,open-pollinated (Small Sugar) or hybrid (Baby Pam),Susceptible to vine borer; moderate powdery mildew resistance,"Classic pie pumpkins. 6-8 lb small round orange pumpkins with sweet dense flesh. ""Small Sugar"" (alias Sugar Pie) is the open-pollinated heirloom; ""Baby Pam"" is an improved modern hybrid version. Deep orange fine-textured flesh ideal for pies, purees, and canning. Higher yields than carving types — 4-6 fruits per vine.",St. Clare Seeds; Johnny's Selected Seeds; Gardener's Path,Small Sugar and Sugar Pie often used interchangeably; Baby Pam is an improved hybrid.,high,2026-04-24
pumpkin_jarrahdale,pumpkin,Jarrahdale,Cucurbita maxima,pumpkin - pie/ornamental,,95,110,,,,,,,48,72,96,,Different species from most pumpkins (C. maxima vs C. pepo/moschata) — won't cross with those,pies; ornamental; long storage,65,open-pollinated heirloom,C. maxima has some vine borer resistance (less than moschata but more than pepo); excellent long storage,"Australian heirloom from Jarrahdale, Western Australia. Striking blue-gray rind — highly decorative. 12-20 lb flattened deeply-ribbed fruits. Sweet dry stringless golden-orange flesh — excellent for pies. Similar to Sweet Meat. Long storage (6+ months). Eye-catching in fall displays. Different species from most pumpkins — useful for genetics management.",Burpee; St. Clare Seeds; Gardener's Path,C. maxima species — similar to Hubbard squash in genetics.,high,2026-04-24
pumpkin_musquee_de_provence,pumpkin,Musquée de Provence / Fairytale,Cucurbita moschata,pumpkin - pie/ornamental/long storage,,100,125,,,,,,,72,96,120,,C. moschata species — won't cross with C. pepo or C. maxima pumpkins,pies; soups; purees; roasting; long storage; ornamental,70,open-pollinated heirloom,C. moschata has BEST vine borer resistance of all squash species — thick woody stems resist borer attack; disease-tolerant,"French heirloom from Provence, introduced to US market 1899. Also called Fairytale or Cinderella pumpkin. Deeply lobed flat-shaped fruit. Starts dark green, ripens to rich tan-brown. 10-20+ lbs. Rich deep orange flesh — considered among the best-tasting pumpkins. Sweet nutty flavor. Excellent for pies, soups, roasting. Vine borer resistance is major advantage in affected regions. Cure and store 4-6+ months.",Johnny's Selected Seeds; Baker Creek; St. Clare Seeds; Gardener's Path; Pinetree,Vine borer resistance is the standout trait — this plus flavor makes it a top pick.,high,2026-04-24
pumpkin_long_island_cheese,pumpkin,Long Island Cheese,Cucurbita moschata,pumpkin - pie,,105,115,,,,,,,60,72,96,,C. moschata — won't cross with pepo or maxima,pies (highly prized); purees; soups,70,open-pollinated heirloom,C. moschata vine borer resistance,"Historic East Coast heirloom from Long Island. Flat ""cheese wheel"" shape — named for resemblance to a wheel of cheese. Tan buff-colored smooth rind. 6-10 lbs. Legendary pie pumpkin — many New York and New Jersey growers say the BEST pie pumpkin. Deep orange flesh with complex rich flavor. Vine borer resistant (moschata). Stores 4+ months.",Baker Creek; Johnny's Selected Seeds; St. Clare Seeds,Regional heirloom with strong reputation among Northeast pie makers.,high,2026-04-24
pumpkin_big_max,pumpkin,Big Max,Cucurbita maxima,pumpkin - giant/display,,110,120,,,,,,,96,144,192,,C. maxima species,display/competition; pies; canning,65,open-pollinated,Susceptible to vine borer (C. maxima) but somewhat less than C. pepo,"Classic giant pumpkin variety. Typically 50-70 lbs; ideal conditions produce 100+ lb specimens. Bright orange, nearly round, smooth rind. Requires MASSIVE space — vines spread 20+ feet. Good cooking quality (firm fine-grained) — not just for display. Remove all but 1-2 fruits per plant for biggest size. Water heavily. For truly competition-sized pumpkins (500+ lbs), use ""Dill's Atlantic Giant"" strain.",St. Clare Seeds; Burpee,Home garden giant — AG (Atlantic Giant) is competition strain.,high,2026-04-24
sunflower_mammoth_gray_stripe,sunflower,Mammoth Gray Stripe,Helianthus annuus,oilseed / snacking sunflower,,80,120,,,8,12,,,24,30,36,,May cross with other sunflowers — isolate for seed saving; wild sunflowers can be a source of crossing,snacking seeds (roasted/salted); bird feed; oil (small scale),50,open-pollinated heirloom,Generally robust; watch for downy mildew and birds eating seeds,"Classic giant heirloom sunflower. Single massive 10-16"" flower head on 8-12 ft stalk. Large striped gray-and-white seeds for human snacking. One plant produces 1-3 lbs of seed. Protect heads from birds with bags or netting as seeds mature. Single flower per plant — plant in rows for efficiency. Historic American garden variety.",Baker Creek; Johnny's Selected Seeds; Burpee,THE classic striped snacking seed — compare to Black Oil for bird/oil use.,high,2026-04-24
sunflower_black_oil,sunflower,Black Oil (Peredovik),Helianthus annuus,oilseed / bird feed sunflower,,75,95,,,6,10,,,18,30,36,,Can cross with other sunflowers — isolate for seed saving,oil production; bird feed; wildlife food,50,open-pollinated,Drought-tolerant; good general disease resistance,"THE standard bird-feed sunflower — what's in commercial ""black oil sunflower seed"" wildlife mixes. Higher oil content than gray striped types (~45% oil vs 30%). Smaller black seeds. Productive — multiple heads per plant. Grown commercially for cooking oil. Most favored bird food sunflower seed. Shorter and earlier than Mammoth.",Johnny's Selected Seeds; Baker Creek; Peredovik seed suppliers,Species bird seed — standard commercial variety for wild bird feed.,high,2026-04-24
sunflower_hopi_black_dye,sunflower,Hopi Black Dye,Helianthus annuus,dye / oilseed sunflower,,100,120,,,8,10,,,24,30,36,,Isolate from other sunflowers for seed saving,traditional purple-black dye for basketry/wool; edible seeds; ornamental,55,open-pollinated heirloom,Drought-tolerant — adapted to arid Southwest conditions,Traditional Hopi variety from Arizona. True-black seeds used by Hopi basket-weavers for rich purple-black dye — the deepest natural dye color available. Also edible as snacking seed. Single large heads on 8-10 ft plants. Drought-tolerant desert-adapted. Cultural significance — important to acknowledge origin. Seeds of Change and Native Seeds/SEARCH are key sources.,Native Seeds/SEARCH; Baker Creek,Cultural significance and unique dye use make this variety notable for heritage/art purposes beyond food.,high,2026-04-24
sorghum_mennonite,sorghum,Mennonite (Dale) Syrup Sorghum,Sorghum bicolor,sorghum - syrup,,100,120,,,8,12,,,6,30,36,,"Separate from other sorghum varieties (grain, grass, broom) by 500+ feet if saving seed",syrup production (pressed and boiled stalks); fodder,65,open-pollinated heirloom,Heat and drought tolerant — more than corn; generally disease-resistant,"Classic syrup sorghum — used to make traditional ""sorghum molasses."" Sweet juicy stalks pressed and boiled down (~10:1 ratio) into dark amber syrup. More drought and heat tolerant than corn. Can grow in poor soil. Also called ""cane"" in some regions — distinct from sugar cane. 8-12 ft plants. Harvest stalks when seeds begin to turn color. Historic Southern and Midwestern homestead crop.",Sandhill Preservation; Southern Exposure Seed Exchange,Homestead-scale sugar production alternative to sugar beets or maple — fits arid climates.,high,2026-04-24
buckwheat_common,buckwheat,Common Buckwheat,Fagopyrum esculentum,grain / cover crop / pollinator plant,,70,90,,,2,4,,,3,6,12,,Not cross-pollinated with other grains — can grow near anything,grain (flour); cover crop; green manure; pollinator forage; smother crop,50,open-pollinated,Very disease-resistant; outcompetes weeds; short season,"Not actually a grain — pseudo-cereal in Polygonaceae (knotweed family). Fast-growing 70-90 days seed to harvest. Excellent smother/cover crop — outgrows weeds. Tolerates poor soils. Reseeds readily — doesn't need replanting. Pollinator favorite — white flowers attract bees. Groats ground into gluten-free flour for pancakes, soba noodles, kasha. Frost-tender — plant after frost. Dual use as cover crop or grain — homestead classic.",Johnny's Selected Seeds; High Mowing Seeds; Fedco,Versatile multi-purpose crop — worth growing even without intent to harvest grain.,high,2026-04-24
field_pea_austrian_winter,field_pea,Austrian Winter Pea,Pisum sativum,cover crop / nitrogen fixer / edible greens,,60,90,,,2,4,,,3,6,12,,Can cross with other peas — isolate from garden peas if seed-saving,cover crop; green manure; nitrogen fixation; edible pea shoots; dry peas,40,open-pollinated,Cold-hardy (survives zone 6+ winters); good general disease resistance,Cool-season cover crop — fall-plant for spring green manure. Cold-hardy overwintering legume. Fixes atmospheric nitrogen — typical yield 100-200 lbs N/acre equivalent. Edible pea shoots and tendrils in spring. Small purple flowers attractive. Plow in at flowering for maximum nitrogen benefit. Frequently mixed with winter rye or wheat as cover crop.,Johnny's Selected Seeds; Fedco; High Mowing Seeds,Standard overwintering cover crop for home gardeners in zone 6+.,high,2026-04-24
oats_cover_crop,oats,Common Oats (Winter Kill),Avena sativa,cover crop,,60,90,,,2,4,,,2,6,12,,Wind-pollinated grain; little cross-pollination concern,cover crop; green manure; winter-killed mulch; hay/fodder,40,open-pollinated,Generally disease-resistant; winter-kills at 10-20F — a FEATURE not a bug when used as cover crop,"Standard home garden cover crop. Fall-plant 6-8 weeks before first hard frost. Plants grow 1-2 ft, then winter-kill at 10-20F — leaves dead mulch that protects soil over winter and is easy to plant through in spring. No tilling or plowing-in needed. Excellent weed suppression. Dead mulch breaks down quickly. Cheapest and easiest cover crop for home scale. Use for pathways and beds to be planted early spring.",Johnny's Selected Seeds; Fedco; Sustainable Agriculture Research and Education (SARE),"Winter-kill behavior is the key feature — plant, walk away, ready to plant through in spring.",high,2026-04-24
rye_winter_cereal,rye,Winter Rye (Cereal Rye),Secale cereale,cover crop / grain,,200,240,,,3,5,,,2,6,12,,Can cross with wheat (makes triticale) — isolate if needed,cover crop; erosion control; grain (rye flour); straw; hay,34,open-pollinated,Extremely cold-hardy (survives zone 3 winters); generally disease-resistant,"Most cold-hardy of all cereal grains — germinates at near-freezing temperatures. Fall-plant as late as 4-6 weeks before first hard frost. Overwinters, resumes growth in spring. Excellent weed suppression and soil coverage. Must be killed in spring (mow, till, crimp) before planting summer crops — does NOT winter-kill. Aggressive — plan for termination. Rye straw is premier mulch. Allelopathic — some vegetables planted immediately after rye struggle; wait 2-3 weeks after termination.",Johnny's Selected Seeds; Fedco; SARE,"Difference from oats cover crop: rye overwinters (needs spring killing), oats winter-kill (easier management). Rye = weed suppression champion.",high,2026-04-24
dry_bean_jacobs_cattle,dry_bean,Jacob's Cattle (Trout),Phaseolus vulgaris,dry bean,,90,100,,,1,2,,,4,18,30,,Self-pollinating; minimal crossing between varieties when spaced 10+ feet,dry beans (soups/baking); shell beans,60,open-pollinated heirloom,Good general resistance to common bean mosaic virus; anthracnose-resistant,"New England heirloom dating to Maine. Beautiful white kidney-shaped beans with dark maroon speckles — ""trout-like"" markings. Excellent baking bean — holds shape when cooked. Rich flavor. Bush habit — no trellising. Short-season maturity good for northern gardens. Classic Maine soldier bean companion for baked beans and cassoulet.",Fedco; Johnny's Selected Seeds; Baker Creek,New England baking bean heirloom — strong regional identity.,high,2026-04-24
dry_bean_black_turtle,dry_bean,Black Turtle,Phaseolus vulgaris,dry bean,,95,105,,,1,2,,,4,18,30,,Self-pollinating; minimal isolation needed,dry beans; refried beans; Latin American cuisine,60,open-pollinated,Moderate disease resistance; tolerates heat better than some dry beans,"Classic small black bean — the standard for Latin American cuisine (Cuban, Brazilian, Mexican). Rich earthy flavor. Productive — 1/2 cup seed produces ~3-4 lbs dry beans per 100 sq ft. Bush habit. Harvest when pods are dry and rattle. Popular home gardener staple — stores 2+ years in airtight container.",Fedco; Johnny's Selected Seeds; Baker Creek,THE classic frijoles negros bean for home production.,high,2026-04-24
dry_bean_hidatsa_shield,dry_bean,Hidatsa Shield Figure,Phaseolus vulgaris,dry bean,,85,95,,,6,8,,,6,30,36,,Self-pollinating,dry beans; traditional Native American cuisine,55,open-pollinated heirloom,Cold-tolerant; adapted to short seasons,"Native American heirloom from Hidatsa people of North Dakota. Pole/climbing habit — ideal for Three Sisters plantings with corn. Unique white-and-dark-red patterned beans (the ""shield figure""). Early maturing — suited to short northern seasons. Good flavor. Cultural significance — preserved by Native Seeds/SEARCH and Seed Savers Exchange.",Seed Savers Exchange; Native Seeds/SEARCH,Cultural heritage variety — important to acknowledge Hidatsa origin.,high,2026-04-24
edamame_midori_giant,edamame,Midori Giant,Glycine max,edamame / green soybean,,75,85,,,1,3,,,4,18,30,,Self-pollinating; no isolation needed,edamame (boiled in pod); shelled soybeans,60,open-pollinated,Generally disease-resistant; nitrogen-fixing,Premier edamame variety — large 2-3 bean pods. Sweet mild flavor. Harvest when pods are plump but still bright green (3-4 weeks window). All pods mature approximately the same time — plan for concentrated harvest. Freeze immediately after harvest. Nitrogen-fixing legume. Easier in US gardens than tofu-type soybeans.,Johnny's Selected Seeds; Baker Creek; Territorial Seed,Edamame = vegetable/food-grade soybean harvested immature.,high,2026-04-24
