variety_id,species,variety_name,scientific_name,plant_type,days_to_maturity_min,days_to_maturity_max,sun_requirement,spacing_inches_min,spacing_inches_max,row_spacing_inches,start_method,plants_per_sqft,growth_habit,mature_height_inches_min,mature_height_inches_max,first_harvest_year,productive_lifespan_years_min,productive_lifespan_years_max,usda_zone_min,usda_zone_max,disease_resistance,companion_notes,variety_notes,sources,source_notes,confidence,last_verified_date
mint_spearmint,mint,Spearmint,Mentha spicata,perennial,60,90,full sun to part shade,18,24,24,transplant or cutting (don't start from seed — runners spread quickly),1,spreading via runners,12,24,1,5,15,3,10,Very hardy; mint rust can occur in humid conditions,"PLANT IN CONTAINERS OR CONTAINED BEDS — mint spreads aggressively via underground runners and will take over any garden. Good companion if contained: repels ants, aphids, cabbage moths.","THE kitchen mint for mojitos, mint juleps, lamb, tabbouleh, and mint tea. Bright fresh clean flavor vs peppermint's menthol intensity. Spreads aggressively — grow in bottomless containers sunk in garden, or dedicated contained beds. Pinch flowers for best leaf flavor. Harvest often to keep fresh growth coming.",Burpee; Johnny's Selected Seeds; Richters Herbs,Aggressive spreading behavior is the critical warning for home gardeners.,high,2026-04-24
parsley_italian_flat_leaf,parsley,Italian Flat-Leaf,Petroselinum crispum var. neapolitanum,biennial (typically grown as annual),70,90,full sun to part shade,6,12,18,indoor start (slow to germinate) or direct sow,2,bushy upright,12,18,1,1,2,,,Generally pest-resistant; host plant for swallowtail butterfly caterpillars (leave them to feed),"Excellent companion for tomatoes, asparagus, corn. Attracts beneficial wasps that prey on pest insects.","Stronger flavor than curly parsley — preferred by cooks. Bright fresh flavor with slight pepperiness. Soak seeds 24 hours before planting to speed germination. Slow to germinate (2-4 weeks). Biennial: grows leaves year 1, flowers and dies year 2. Harvest outer stems at base to keep producing. Hardy through light frosts.",Johnny's Selected Seeds; Burpee; Territorial Seed,Flat-leaf vs curly is essentially a flavor preference — flat-leaf is stronger.,high,2026-04-24
cilantro_slow_bolt,cilantro,Santo (Slow-Bolt),Coriandrum sativum,annual,50,65,full sun to part shade (part shade in summer),4,8,12,direct sow (tap root — transplants poorly),4,upright leafy,12,24,,,,,,Generally pest-resistant; bolts quickly in heat — that's the main issue,"Good companion for tomatoes, spinach, basil. Attracts beneficial insects when flowering. Avoid planting near fennel.","BOLTS QUICKLY IN HOT WEATHER — succession plant every 2-3 weeks for continuous supply. ""Santo"" is the slow-bolt variety best suited for summer. Leaves = cilantro; seeds = coriander (harvest dry seeds when plant bolts — saves seed for next crop). Essential in Mexican, Thai, Indian cuisine. ~10-20% of people perceive cilantro as soapy due to genetic variation in olfactory receptors.",Johnny's Selected Seeds; Burpee; Territorial Seed,Bolting in heat is THE challenge with cilantro — succession planting is essential.,high,2026-04-24
chives_common,chives,Common Chives,Allium schoenoprasum,perennial,80,90,full sun to part shade,6,12,18,direct sow or transplant (slow from seed),4,clumping grass-like,10,18,1,5,15,3,10,Very hardy; minimal pest issues; repels aphids and carrot flies,"Plant throughout the garden to repel aphids, Japanese beetles, and carrot flies. Great companion for carrots, roses, and tomatoes. Divide clumps every 3-4 years to maintain vigor.","Hardiest allium — grows year-round in most climates, returns reliably from roots. Mild onion flavor — great fresh in salads, baked potatoes, eggs, soft cheese. Edible purple pompom flowers — sprinkle on salads. Cut back in mid-season for a fresh flush of tender leaves. Divide clumps every 3-4 years.",Johnny's Selected Seeds; Burpee; Territorial Seed,Zone 3 hardiness makes it one of the toughest culinary perennials.,high,2026-04-24
dill_bouquet,dill,Bouquet,Anethum graveolens,annual (self-seeds readily),40,55,full sun,6,12,18,direct sow (tap root — transplants poorly),2,upright feathery,24,48,,,,,,Generally pest-free; host plant for swallowtail butterflies,Great companion for cabbage family (brassicas) and cucumbers. Attracts beneficial wasps and butterflies. Avoid planting near carrots (can cross-pollinate). Self-seeds readily if allowed to flower.,"Most popular home garden dill. Leaves ready at 40-55 days; seeds ready at ~90 days. Harvest leaves (""dill weed"") for fresh use and pickling; harvest seed heads for pickling brines and spice. Bolts quickly — succession plant every 3 weeks for continuous leaf supply, or let a few go to seed for future crops (self-seeds prolifically). Cannot be transplanted — direct sow only.",Johnny's Selected Seeds; Burpee; Territorial Seed,Self-seeding means one planting can provide dill for years.,high,2026-04-24
lettuce_buttercrunch,lettuce,Buttercrunch,Lactuca sativa,annual,55,65,full sun to part shade (shade in summer),8,12,12,direct sow or transplant,4,loose head (butterhead type),6,8,,,,,,Some resistance to tipburn; more heat-tolerant than typical butterhead; bolts in high heat,"Great companion for carrots, radishes, strawberries. Protect from hot afternoon sun.",All-America Selections winner 1963. The classic Bibb-type butterhead — loose heads of tender buttery green leaves with a slight crunch. More heat-tolerant than most butterheads. Excellent for salads and sandwiches. Succession-plant every 2-3 weeks spring and fall. Cool-season crop — struggles above 75F. Cut outer leaves or harvest whole head.,Wildrose Heritage; Live Better Garden; Johnny's Selected Seeds; Burpee,Heat tolerance is the defining feature — outperforms generic butterheads in early-summer garden.,high,2026-04-24
lettuce_parris_island,lettuce,Parris Island Cos (Romaine),Lactuca sativa,annual,60,75,full sun to part shade,8,12,12,direct sow or transplant,4,upright elongated (romaine/cos type),10,12,,,,,,Resistance to tip burn; tolerance to mosaic virus; medium bolt resistance,Romaine is more heat-tolerant than most lettuces — good for extending the season into summer.,"Classic heirloom dark-green romaine — the benchmark home garden romaine. 10-12"" upright heads with slightly savoyed dark green leaves and creamy yellow heart. THE lettuce for Caesar salads. Tolerates heat better than butterhead or leaf lettuces. Good resistance to tipburn and mosaic virus.",Wildrose Heritage; High Mowing Seeds; Blue Pumpkin Seed Co; Heirloom Organics,Very adaptable and forgiving — excellent beginner romaine.,high,2026-04-24
lettuce_black_seeded_simpson,lettuce,Black Seeded Simpson,Lactuca sativa,annual,45,50,full sun to part shade,6,10,12,direct sow,4,loose-leaf,9,15,,,,,,"Heat resistant, slow to bolt for a leaf lettuce",Cool-season crop — plant early spring and fall. Keep soil moist for best flavor.,"150+ year old heirloom — still one of the most popular leaf lettuces. Fast-growing bright-green frilly leaves with tender texture and delicate flavor. ""Cut-and-come-again"" — harvest outer leaves and plant keeps producing. Baby greens ready in 28 days; full harvest at 45-50. Well-adapted to wide range of climates.",Wildrose Heritage; Pinetree Garden Seeds; Live Better Garden; Burpee,"The heritage loose-leaf benchmark — essentially the ""basic"" home garden lettuce.",high,2026-04-24
lettuce_oakleaf,lettuce,Oakleaf,Lactuca sativa,annual,45,55,full sun to part shade,6,10,12,direct sow,4,loose-leaf rosette,6,12,,,,,,Slow to bolt — more heat-tolerant than many loose-leaf types,Mix with darker lettuces for color contrast. Cut-and-come-again harvesting.,Deeply lobed oak-shaped leaves. Green Oakleaf and Red Oakleaf are both widely grown. Slow to bolt in heat — one of the best leaf lettuces for extending the season. Sweet mild flavor. Excellent for salad mixes. Beautiful garden ornamental as well as edible.,Johnny's Selected Seeds; Baker Creek; Territorial Seed,"""Oakleaf"" refers to a leaf shape category with multiple specific cultivars (Salad Bowl, Red Salad Bowl, etc).",high,2026-04-24
lettuce_salanova,lettuce,Salanova,Lactuca sativa,annual,55,65,full sun to part shade,8,10,12,transplant recommended,4,dense compact rosette,6,8,,,,,,Good resistance to downy mildew and tipburn; disease-resistant breeding program,Premium variety bred specifically for one-cut harvest — ideal for market gardeners or home growers wanting salad-ready heads.,"Modern premium breeding line (multiple colors and shapes in the Salanova series). Single core cut at base releases a pre-portioned salad of small uniform leaves. Highly productive. Excellent baby-leaf quality. Heat-tolerant. Commonly grown by market gardeners but excellent for home gardens too. Available in butterhead, oakleaf, and incised-leaf types, in green and red.",Johnny's Selected Seeds; Territorial Seed,Salanova is a trademark line — seed is more expensive than open-pollinated lettuces but performance is superior.,high,2026-04-24
cucumber_marketmore_76,cucumber,Marketmore 76,Cucumis sativus,annual,60,70,full sun,12,18,48,direct sow after frost or indoor start,2,vining (trellisable),,,,,,,,"Resistant to scab, cucumber mosaic virus, downy mildew, powdery mildew — the standard disease-resistant slicer","Good companion for corn, beans, radishes, sunflowers. Avoid planting near sage or potatoes. Keep evenly watered to prevent bitterness.","Developed by Cornell University — the most widely-grown slicing cucumber in the Northeast. Dark green smooth 8-9"" straight non-bitter fruits. Exceptional disease resistance. Productive until frost. Vining habit — trellis for easier harvest and cleaner fruit. Bitter-free genetics. The default slicer variety.",Johnny's Selected Seeds; High Mowing Seeds; Burpee; Wildrose Heritage,Cornell breeding makes this the disease-resistance gold standard.,high,2026-04-24
cucumber_national_pickling,cucumber,National Pickling,Cucumis sativus,annual,52,60,full sun,12,18,48,direct sow,2,vining,,,,,,,,Resistant to cucumber mosaic virus; good general disease resistance,"Harvest frequently at 2-6"" long for best pickling quality. Missing fruits trigger plant to stop producing.","Introduced 1924 — THE classic pickling cucumber. Dark green cylindrical 5-7"" fruits with black spines. Heavy yielder. Perfect ratio of skin to flesh for crisp pickles. Harvest at 2-4"" for gherkins, 4-6"" for standard dill pickles. Pick every 1-2 days during peak production to keep plant producing.",Wildrose Heritage; Baker Creek; True Leaf Market,The classic American pickling cucumber.,high,2026-04-24
cucumber_lemon,cucumber,Lemon,Cucumis sativus,annual,65,70,full sun,12,18,48,direct sow,2,vining,,,,,,,,Good general disease resistance; productive in hot climates,Trellis for cleanest fruit. Harvest when pale yellow — over-ripe fruits turn deep yellow and can be bitter.,"Heirloom dating to 1894. Round 2-3"" lemon-shaped and pale yellow fruits. Sweet mild non-bitter flesh with tender edible skin. Productive even in hot dry conditions. Novelty appeal plus excellent flavor — great for kids. Pick at pale-yellow stage; too-yellow fruits go bitter. Perfect snacking size.",Baker Creek; Johnny's Selected Seeds; Territorial Seed,Reliable heirloom that performs in climates where standard cucumbers struggle.,high,2026-04-24
cucumber_armenian,cucumber,Armenian,Cucumis melo var. flexuosus,annual,55,75,full sun,18,24,60,direct sow,1,vigorous vining,,,,,,,,More heat-tolerant and less disease-prone than true cucumbers — excellent for hot climates,"Must be trellised — fruits grow straight when hanging, curl into S-shapes on ground. Vigorous vines need strong support.","Technically a melon (Cucumis melo) not a true cucumber — but grown and eaten as one. Long pale green ribbed fruits 18-36 inches at full size. Mild sweet never-bitter flavor. Heat-tolerant where true cucumbers struggle. Harvest at 12-15"" for best texture. Never needs peeling. Seeds tiny and edible.",Baker Creek; Johnny's Selected Seeds; Botanical Interests,Not technically Cucumis sativus — worth noting for seed-saving purposes.,high,2026-04-24
cucumber_straight_eight,cucumber,Straight Eight,Cucumis sativus,annual,58,75,full sun,12,18,48,direct sow,2,vining,,,,,,,,Moderate disease resistance,Pick every 2-3 days when producing. Cut fruit from vine rather than pulling to prevent vine damage.,"1935 All-America Selections winner. Classic smooth straight dark green 8"" cucumbers with rounded blunt ends. Reliable and productive heirloom. Sweet mild flavor. Excellent for slicing. An American garden staple for nearly 90 years.",Wildrose Heritage; Burpee; Baker Creek,Reliable classic — a sensible default for beginners.,high,2026-04-24
