variety_id,species,variety_name,scientific_name,chill_hours_min,chill_hours_max,self_fertile,pollinators,years_to_first_fruit_min,years_to_first_fruit_max,ripening_season,usda_zone_min,usda_zone_max,mature_height_ft_min,mature_height_ft_max,tree_spacing_ft_min,tree_spacing_ft_max,training_system,disease_notes,variety_notes,sources,source_notes,confidence,last_verified_date
nectarine_mericrest,nectarine,Mericrest,Prunus persica var. nucipersica,800,950,TRUE,,2,3,August,5,8,12,15,15,20,open center,Valued for resistance to brown rot and leaf spot,Introduced in the 1950s in New Hampshire. One of the hardiest nectarines available — withstands temperatures as low as -28F. Freestone with rich sweet-tangy flavor that rivals warm-climate nectarines. Proven performer for 70+ years in cold climates.,Stark Bros; Bay Laurel Nursery; Epic Gardening,Chill hours 950 per Stark Bros.,high,2026-04-24
nectarine_hardired,nectarine,Hardired,Prunus persica var. nucipersica,700,800,TRUE,,2,3,early-to-mid August,4,9,10,12,12,15,open center,"Excellent resistance to bacterial spot and brown rot; note: susceptible to peach leaf curl in wet-spring climates (e.g., Pacific Northwest)","Released from Harrow Research Station, Ontario, Canada in 1974. Hardy to -20F or below. Semi-freestone with firm yellow flavorful flesh. One of the most disease-resistant nectarines — especially good for low-spray growing. Large showy pink flowers. Adapted to cooler climates.",Stark Bros; Raintree Nursery; One Green World; NatureHills; Intermountain Fruit,"Chill hours: Raintree cites 800+, Intermountain Fruit notes low chilling, One Green World hardy to -20F. Zone range 4-9 per One Green World. Hardy for northern climates but has peach leaf curl issues in Pacific Northwest.",high,2026-04-24
nectarine_redgold,nectarine,Redgold,Prunus persica var. nucipersica,800,850,TRUE,,3,4,August,5,9,12,15,15,20,open center,Crack-resistant; good shelf life; buds are hardy,Large freestone with red-gold skin and rich flavorful yellow flesh. Great for baking and fresh eating. Productive tree with beautiful pink flowers in spring. Crack-resistant fruit with good shelf life. Buds hardy to -20F.,Stark Bros; Talbott Nursery; Intermountain Fruit; NatureHills,Chill hours 850 per Talbott Nursery.,high,2026-04-24
nectarine_arctic_star,nectarine,Arctic Star,Prunus persica var. nucipersica,300,400,TRUE,,2,3,mid-to-late June,5,9,12,15,15,20,open center,Standard nectarine pest/disease concerns,"White-fleshed nectarine bred by the Zaiger family of California — part of the Arctic series. Very low chill requirement (lowest of the Arctic series). Rich, sweet flavor. Excellent for mild-winter climates. Earliest-ripening of the Arctic whites (mid-to-late June).",Stark Bros; Bay Laurel Nursery; NatureHills,Low-chill variety specifically bred for warm winter areas.,high,2026-04-24
cherry_sweet_lambert,cherry_sweet,Lambert,Prunus avium,700,800,FALSE,Van; Rainier; Stella; Sam; Hartland; Lapins; Sweetheart,4,5,mid-to-late July,4,8,15,25,15,20,modified central leader,Crack-resistant compared to Bing; late bloom reduces frost risk,"Heirloom sweet cherry. Dark red heart-shaped fruit. CRITICAL POLLINATION NOTE: Lambert is in the SAME S-allele group (S3S4) as Bing and Royal Ann/Napoleon and CANNOT pollinate them or be pollinated by them. Requires a cross-compatible variety from a DIFFERENT S-allele group, or a self-fertile universal pollinator (Stella or Lapins).",WSU Tree Fruit Extension; One Green World; House Digest; Homesteading.blog; TreeCareZone; Sky Nursery,WSU Tree Fruit Extension is authoritative source for sweet cherry S-allele compatibility. The Bing/Lambert incompatibility is the single most important orchard planning fact for this variety.,high,2026-04-24
cherry_sweet_bing,cherry_sweet,Bing,Prunus avium,700,900,FALSE,Rainier; Hartland; Lapins; Sam; Stella; Sweetheart; Van; Black Tartarian,4,6,mid-to-late June,5,8,15,35,20,30,modified central leader,Highly prone to rain cracking; susceptible to brown rot in humid climates,"The iconic American sweet cherry — dark mahogany-red fruit, large and firm with sweet classic flavor. Originated 1875 in Oregon at the Lewelling farm. CRITICAL: NOT compatible with Lambert, Royal Ann, or Napoleon (same S-allele group). Grows well in dry climates but fruit may crack in wet harvest weather. Universal pollinators like Stella or Lapins are the easiest partners.",Raintree Nursery; Ty Ty Nursery; Gardenia; Leaftide; Smart Garden Experts; Dave Wilson Nursery,Chill hours 700-900 per Raintree and Ty Ty. Pollination incompatibilities critically important.,high,2026-04-24
cherry_sweet_rainier,cherry_sweet,Rainier,Prunus avium,700,900,FALSE,Bing; Black Tartarian; Lapins; Van; Hartland; Sam; Stella; Sweetheart,4,5,late June to early July,5,8,15,35,20,30,modified central leader,Prone to brown rot in humid climates; problematic in Western Washington,Premium yellow cherry with red blush and cream-to-pale-yellow flesh. Exceptionally sweet (sugar content up to 22 Brix). Released 1952 at WSU by Harold Fogle. Flesh bruises easily — requires careful handling. Birds are less attracted to yellow cherries than red. Ripens just after Bing. Excellent cold hardiness.,Raintree Nursery; Dave Wilson Nursery; Smart Garden Experts; Ty Ty Nursery; Epic Gardening; Gardenia,Multiple sources consistent. Not recommended for Western Washington wet climate per Raintree.,high,2026-04-24
cherry_sweet_stella,cherry_sweet,Stella,Prunus avium,400,800,TRUE,,3,5,July,5,8,15,25,15,20,modified central leader,Moderately resistant to bacterial canker; does better in wet climates than Bing,The first self-fertile sweet cherry — introduced in 1968 from British Columbia. Revolutionized home cherry growing by eliminating the need for multiple trees. Large dark red heart-shaped fruit with excellent sweet flavor. Also serves as a universal pollinator for other sweet cherries. S-allele genotype S3S4. Sky Nursery chill hours cited as low as 400; Raintree notes uncertainty (400 vs 700-800).,Stark Bros; Raintree Nursery; Gardenia; American Gardener; Ty Ty Nursery; Smart Garden Experts; Leaftide,"Chill hours range 400-800; low end commonly cited for warmer climates, higher for reliable fruit set in colder zones. Used wider range to reflect both.",high,2026-04-24
cherry_sweet_lapins,cherry_sweet,Lapins,Prunus avium,500,800,TRUE,,3,4,mid-July,5,8,12,18,15,20,modified central leader,Resistant to rain cracking; good disease tolerance,"Hybrid of Stella x Van from Summerland Research Station, British Columbia (1983). Self-fertile and serves as a universal pollinator for other sweet cherries. Very large, dark-skinned fruit with firm flesh. Resists cracking in wet weather. Recipient of the Royal Horticultural Society Award of Garden Merit. Ripens mid-season with Bing. Holds shape well when baked.",Raintree Nursery; Gardenia; Dave Wilson Nursery; Stark Bros; American Gardener; Specialty Produce,Chill hours most commonly cited at 500-700; some sources say 400-500 for low-chill climates.,high,2026-04-24
cherry_sweet_sweetheart,cherry_sweet,Sweetheart,Prunus avium,700,800,TRUE,,2,3,late July (20 days after Bing),5,8,15,35,15,20,modified central leader,Low incidence of cracking during summer rains; easier to grow than most cherries,"Developed at Summerland Research Station, British Columbia (parentage: Van x Newstar). Self-fertile and also serves as a universal pollinator. Bright red, heart-shaped, medium-to-large fruits with firm aromatic flesh. Very late ripening — about 20 days after Bing. Royal Horticultural Society Award of Garden Merit recipient. Precocious (bears fruit young) and heavy yielding. Upright growth.",Raintree Nursery; NatureHills; Stark Bros; Smart Garden Experts; Epic Gardening,Chill hours 700-800 per Raintree and NatureHills. Universally praised for ease of growing and crack resistance.,high,2026-04-24
cherry_sweet_van,cherry_sweet,Van,Prunus avium,700,800,FALSE,Bing; Hartland; Lambert; Lapins; Rainier; Royal Ann; Sam; Stella; Sweetheart,4,5,late June,5,8,15,25,15,20,modified central leader,Good disease tolerance; crack-resistant,"Released from Summerland Research Station, British Columbia in 1944. Large dark red firm cherry with black-red flesh. Excellent cold hardiness. Ripens slightly before Bing. Often used as a pollination partner for Bing, Rainier, and Lambert because it cross-pollinates with all of them. Heavy bearing tree.",One Green World; Dave Wilson Nursery; Smart Garden Experts; Gardenia,"Cross-pollination compatibility is excellent — good ""utility"" pollinator for mixed cherry orchards.",high,2026-04-24
cherry_sweet_black_tartarian,cherry_sweet,Black Tartarian,Prunus avium,700,900,FALSE,Bing; Rainier; Stella; Lapins; Van; Sam; Hartland; Kristen; Sweetheart,4,6,early June,5,8,20,30,20,25,modified central leader,Standard sweet cherry disease concerns,"Heirloom from Russia, introduced to England in 1796 and to America shortly after. One of the earliest-ripening sweet cherries. Nearly black, richly flavored, purple-fleshed fruit. Well adapted to most soil conditions. CRITICAL: NOT compatible with Lambert, Royal Ann, or Napoleon (same S-allele group as Bing). Used alongside Bing and Rainier in most orchards.",Raintree Nursery; Gardenia; Dave Wilson Nursery; Ty Ty Nursery; Smart Garden Experts; Epic Gardening,Chill hours 700+ per Raintree. Early ripening (before Bing) makes it useful for extending the harvest season.,high,2026-04-24
cherry_sour_montmorency,cherry_sour,Montmorency,Prunus cerasus,700,1000,TRUE,,3,4,late June to early July,4,7,12,20,15,18,modified central leader,Excellent cold hardiness (to -30F); good disease resistance,"THE classic American pie cherry — represents roughly 90% of US sour cherry production. Named for the Montmorency Valley in France. Bright red skin with clear juice and firm yellow flesh. Tart and tangy with balanced acidity. Self-fertile, cold hardy, disease-resistant, and reliable. Tart cherries require fewer chill hours for buds to break but hardier than sweet cherries. Can also pollinate some sweet cherries that bloom at the same time. Ripens before Balaton.",Gardenia; Cummins Nursery; Ison's Nursery; Patuxent Nursery; American Gardener; Ty Ty Nursery; Talbott Nursery,"Chill hours range 500-1000 across sources; Talbott cites 500, most others 700-1000. Used conservative 700-1000.",high,2026-04-24
cherry_sour_north_star,cherry_sour,North Star,Prunus cerasus,800,900,TRUE,,3,4,late June,4,8,8,10,8,12,open center,Exceptional cold hardiness; tolerates brown rot and leaf spot to a limited extent,Naturally dwarf tart cherry bred by University of Minnesota. Only 8-10 feet tall — perfect for small gardens and container growing. Dark red fruit with mahogany-colored juice. Fruits heavily despite small size. Easy harvest without ladders. Self-fertile and extremely cold-hardy. Bears early (within 3-4 years of planting). Can produce fruit the same year it is planted.,Gardenia; American Gardener; House Digest; Raintree Nursery; Patuxent Nursery,Dwarf habit is the standout feature — remains small without dwarfing rootstock.,high,2026-04-24
cherry_sour_balaton,cherry_sour,Balaton,Prunus cerasus,800,1000,TRUE,,3,4,mid-July (7 days after Montmorency),5,8,12,18,15,18,modified central leader,Susceptible to brown rot and leaf spot; winter-hardiness slightly less than Montmorency,"Hungarian variety introduced to North America by Dr. Amy Iezzoni at Michigan State University in the early 1980s. Named for Lake Balaton. Late-blooming (frost-resistant) dark-fleshed Morello-type tart cherry with higher sugar content than Montmorency. Deep burgundy flesh provides vivid pie filling color. Partially self-fertile but yields improve with a sweet cherry pollinator (e.g., Black Gold recommended by Cummins). No bleeding when stem is pulled — crack-resistant.",Cummins Nursery; Gardenia; Patuxent Nursery; American Gardener; House Digest,"Chill hours not conclusively determined per Cummins; Gardenia suggests 800-1000. Cummins notes partial self-fertility — more nuanced than the typical ""self-fertile"" label.",high,2026-04-24
cherry_sour_meteor,cherry_sour,Meteor,Prunus cerasus,450,800,TRUE,,2,3,early July (7 days after Montmorency),4,8,8,12,10,12,open center,Good disease resistance; excellent cold hardiness,"Compact semi-dwarf tart cherry from University of Minnesota. About 8 feet wide and tall — great for gardens with limited space. Plump, glistening red fruit. Self-fertile and bears within 2-3 years of planting, faster than Montmorency. Lower chill requirement (450 hours) allows growing as far south as zone 9.",House Digest; Stark Bros; Gardenia,Chill hours range widely: House Digest cites 450; other sources up to 800.,medium,2026-04-24
cherry_sour_surefire,cherry_sour,Surefire,Prunus cerasus,700,900,TRUE,,2,3,early-to-mid July,4,8,12,15,12,15,modified central leader,Late bloom (reduces frost risk); very cold hardy,"Released by Cornell University/Geneva Experiment Station. Bright red fruit with red juice (morello-type). Late-blooming helps avoid spring frosts in marginal cherry-growing areas. Self-fertile and very productive. Firm fruit resists cracking. Good for pies, preserves, and juice.",Cummins Nursery; Stark Bros,Less-documented variety; limited but consistent source data.,medium,2026-04-24
apple_honeycrisp,apple,Honeycrisp,Malus domestica,800,1000,FALSE,Gala; Fuji; Granny Smith; Golden Delicious; Liberty; Enterprise; McIntosh; Cortland; Haralred; Red Delicious,2,5,early September,3,8,12,18,15,20,central leader,More susceptible to bitter pit (calcium deficiency) than most varieties — calcium sprays highly recommended; tendency toward biennial bearing,"Bred by University of Minnesota in 1974 (released 1991). Exceptionally crisp and juicy with unique cell structure that creates the signature ""snap."" Late bloomer (bloom group 4) — critical to pair with other late-blooming varieties. Do NOT pair with Cosmic Crisp (too closely related — pollen incompatible). Fruits can split in heavy rain. Sensitive to sunburn. Storage life up to 5-6 months refrigerated.",Stark Bros; Raintree Nursery; Food Forest Nursery; Sunset Magazine; This Old House; Cummins Nursery; Set Apart Farm,Chill hours 800-1000 consensus. Late bloom group (4) is the critical orchard-planning fact — some early-blooming varieties like Sunrise are NOT compatible pollinators despite being nearby.,high,2026-04-24
apple_liberty,apple,Liberty,Malus domestica,800,1000,FALSE,Enterprise; Freedom; Honeycrisp; Pristine; Williams Pride; Jonafree; Redfree,2,4,late September to early October,4,8,12,20,15,20,central leader,Field-immune to apple scab and cedar apple rust; strong resistance to fire blight and powdery mildew — the backbone of any organic orchard,"Bred at New York State Agricultural Experiment Station in Geneva (1972 by Dr. Robert Lamb; released 1978). Parentage: Macoun x Purdue 54-12. The name ""Liberty"" was chosen to denote freedom from disease. Most widely planted disease-resistant apple in the US. Ripens 14 days after McIntosh. Medium-large dark red fruit with crisp nearly-white flesh. Sweet-tart aromatic flavor. Bloom group 2 (early-mid). Narrow harvest window — pick promptly. Stores up to 2 months, flavor improves in first month.",Stark Bros; Cummins Nursery; Missouri Extension; Penn State Extension; Raintree Nursery; Sunset Magazine,Zone 4-8 per Cummins; chill hours 800-1000 per Raintree. Universally recommended for organic growers.,high,2026-04-24
apple_enterprise,apple,Enterprise,Malus domestica,800,1000,FALSE,Liberty; Honeycrisp; Gala; Golden Delicious; GoldRush; Fuji,2,4,late October,4,8,12,18,15,20,central leader,Immune to apple scab; resistant to fire blight and cedar apple rust; moderately resistant to powdery mildew,Released by PRI (Purdue-Rutgers-Illinois) cooperative breeding program. Medium-large red fruit with tart flesh; peel tends to be tough. Very late ripening (one of the latest). Excellent storage. Highly recommended for disease-resistant orchards where the tough peel is not a drawback. Bloom group 3 (mid-season).,Stark Bros; Missouri Extension; Penn State Extension; Cummins Nursery,Universally valued for scab immunity. The tough peel is the main consumer trade-off.,high,2026-04-24
apple_gala,apple,Gala,Malus domestica,400,600,FALSE,Fuji; Granny Smith; Honeycrisp; Golden Delicious; Red Delicious; Empire; Braeburn,2,4,mid-August to early September,5,10,12,18,15,20,central leader,Moderately susceptible to apple scab and fire blight; standard pest pressure,"New Zealand origin (1934, released 1965). Parentage: Kidd's Orange Red x Golden Delicious. Striped red-over-yellow medium apple, sweet with mild flavor. Kid-friendly. Bears young — good choice for first-time orchardists. Bloom group 3 (mid-season). Late-season bloomer. Widely adaptable mid-range chill. Some sources note partial self-fertility but cross-pollination strongly improves yield.",Food Forest Nursery; Garden Goods Direct; Grow Organic; Raintree Nursery; Stark Bros,"Chill hours commonly cited at 400-600. Can grow in zones 4-10, but most sources cite 5-9 or 5-10.",high,2026-04-24
apple_fuji,apple,Fuji,Malus domestica,300,500,FALSE,Gala; Granny Smith; Golden Delicious; Honeycrisp; Braeburn; Cortland; Pristine; Rubinette,2,5,mid-to-late October,5,9,12,25,15,25,central leader,Susceptible to fire blight; moderately susceptible to scab,"Developed in Aomori Prefecture, Japan (1930s; released 1962). Parentage: Red Delicious x Ralls Janet. Extremely sweet and very crisp — ideal for long storage. Flavor often improves after cool storage. Bloom group 3 (mid-season). Extended bloom period — a good pollinator for many other varieties. Late-season harvest. Low-to-moderate chill requirement makes it well-adapted from zones 5-9. Partially self-fertile in zone 9 but needs pollinator elsewhere.",Garden Goods Direct; NatureHills; Grow Organic; Orange Pippin; Food Forest Nursery,"Chill hours: NatureHills notes 200-400 for practical purposes, now considered low-chill. Garden Goods Direct cites 350-400. Used 300-500 to span range.",high,2026-04-24
apple_granny_smith,apple,Granny Smith,Malus domestica,400,600,FALSE,Fuji; Gala; Honeycrisp; Golden Delicious; Red Delicious; Rome,3,5,mid-to-late October,5,9,12,18,15,20,central leader,Tolerates heat well; moderately susceptible to apple scab and cedar apple rust,Discovered in Australia around 1868 by Maria Ann (Granny) Smith. Iconic bright green tart apple — benchmark baking and pie apple. Firm crisp flesh holds shape when cooked. Long storage life (up to 6 months). Long growing season needed — not suitable for cold northern zones. Bloom group 3 (mid-to-late season). Heat-tolerant. Holds up well during seasonal temperature changes.,Tristar Plants; Raintree Nursery; Grow Organic; Food Forest Nursery; Garden Goods Direct,"Chill hours: Tristar cites 400-500, others 600+. Range used to reflect.",high,2026-04-24
apple_cortland,apple,Cortland,Malus domestica,800,1000,FALSE,Honeycrisp; Liberty; McIntosh; Empire; Gala; Fuji; Golden Delicious,3,5,mid-to-late September,3,8,15,25,15,25,central leader,Susceptible to apple scab; standard pest pressure,Released in 1898 by New York State Agricultural Experiment Station in Geneva. Parentage: Ben Davis x McIntosh. Medium-sized bright red apple with sprightly flavor. Flesh is exceptionally slow to brown when cut — popular for salads and fresh slicing. Excellent all-purpose for eating and cooking. Cold-hardy to zone 3. Bloom group 3 (mid-season). Can serve as a good pollinator for Honeycrisp.,HGTV; Food Forest Nursery; Cummins Nursery; Stark Bros; Grow Organic,Cortland is an older heritage variety — extensive documentation.,high,2026-04-24
pear_euro_bartlett,pear_european,Bartlett,Pyrus communis,500,800,FALSE,Bosc; Anjou; Moonglow; Seckel (NOT compatible); Harrow Sweet; Comice; Kieffer,3,6,late August,5,8,12,20,15,20,modified central leader,Susceptible to fire blight; watch for codling moth,"The world's best-selling pear, called Williams in Europe. Discovered in England in 1770. Large golden-yellow bell-shaped fruit with smooth firm flesh and sweet aromatic flavor. Classic canning and fresh-eating pear. Long-lived trees (100+ year bearing). CRITICAL: Bartlett and Seckel CANNOT pollinate each other (incompatibility). Harvest firm and ripen off the tree at room temperature. Partially self-fruitful in western US climates but needs pollinator elsewhere.",Stark Bros; Gardener's Path; Grow Organic; Garden Goods Direct; Set Apart Farm; Dave Wilson Nursery; WSU Tree Fruit Extension,"Chill hours: Stark Bros says 800, Set Apart Farm says 500-600. Zone range 5-7 or 5-8 or 5-9 depending on source.",high,2026-04-24
pear_euro_bosc,pear_european,Bosc,Pyrus communis,700,800,FALSE,Bartlett; Anjou; Comice; Moonglow; Seckel; Harrow Sweet,4,6,late September to October,5,9,18,25,15,20,modified central leader,Moderately susceptible to fire blight,Elegant oblong pear with cinnamon-colored russet skin. Distinctive honey-sweet flavor with woodsy spice notes. Firm flesh holds up beautifully in baking and poaching. Keeps up to 3 months in cold storage. Glossy green foliage turns deep purplish burgundy in autumn. Originated in Belgium early 1800s. Late-season ripening.,Stark Bros; Gardener's Path; Grow Organic; Gardens Angle,Consistent data across sources.,high,2026-04-24
pear_euro_anjou,pear_european,Anjou,Pyrus communis,600,800,FALSE,Bartlett; Bosc; Comice; Moonglow; Seckel; Harrow Sweet,4,6,late September to October,5,9,15,25,15,20,modified central leader,Moderately susceptible to fire blight; good scab resistance,Also known as d'Anjou or Beurre d'Anjou. Short-necked egg-shaped fruit with light green skin (sometimes red) and buttery white flesh. Mild sweet flavor. Originated in France mid-1800s. Excellent storage (up to 6 months in cold storage — longest of European pears). Partially self-fertile per WSU but cross-pollination strongly recommended.,Grow Organic; Gardens Angle; Food Gardening Network; WSU Tree Fruit Extension,Anjou has the longest cold-storage life of European pears.,high,2026-04-24
pear_euro_seckel,pear_european,Seckel,Pyrus communis,500,700,FALSE,Bosc; Anjou; Moonglow; Comice; Harrow Sweet; Potomac (NOT compatible); Bartlett (NOT compatible),3,5,late August to early September,5,8,10,15,15,20,modified central leader,Superior fire blight resistance — one of the most disease-resistant pears,"American heirloom discovered near Philadelphia in the 18th century (originally by ""Dutch Jacob"" before being named for landowner Mr. Seckel). Known as the ""sugar pear"" or ""candy pear"" — intensely sweet with honeyed depth and subtle spice. Small bite-sized russeted fruit packs more flavor than larger pears. Fine-grained buttery texture. Cold-hardy, frost-resistant. CRITICAL: Seckel and Bartlett CANNOT pollinate each other (same incompatibility group as Potomac). Incompatible with quince rootstock.",Stark Bros; Cummins Nursery; NC State Extension; Gardener's Path,Seckel/Bartlett incompatibility and Seckel/Potomac incompatibility both critical orchard facts.,high,2026-04-24
pear_euro_moonglow,pear_european,Moonglow,Pyrus communis,500,700,FALSE,Bartlett; Seckel; Bosc; Anjou; Starking Delicious; Harrow Sweet,3,5,early August (7-12 days before Bartlett),5,9,15,20,15,20,modified central leader,Excellent fire blight resistance — one of the most resistant European pears,"Released by USDA Beltsville Agricultural Research Center, Maryland in 1960. Large yellow-tan fruit with pink blush, resembling Bartlett. Soft juicy melt-in-your-mouth texture with very little grit and mild sweet flavor. Excellent for fresh eating, canning, and juicing. Also an exceptional pollinator for other cultivars due to long-lasting midseason bloom.",Stark Bros; Gurney's; Gardener's Path; The Farm Connection; NC State Extension; UMass Amherst,Fire blight resistance makes it especially valuable in humid eastern climates.,high,2026-04-24
pear_asian_shinseiki,pear_asian,Shinseiki,Pyrus pyrifolia,250,450,TRUE,20th Century; Hosui; Chojuro; Bartlett,2,4,August,5,9,12,18,12,15,modified central leader,Good fire blight resistance; generally disease-resistant,"Name means ""new century"" in Japanese. Cross between 20th Century and Chojuro. Bright yellow crisp mid-sized fruit. Self-fertile and low-chill — one of the best choices for mild winter climates. Mild flavor and coarse texture. Ripens on the tree (unlike European pears).",Gardener's Path; Garden.org; Four Winds Growers; NatureHills,Among the lowest-chill Asian pears — good for zones 8-9.,high,2026-04-24
